absolute magnetic well,绝对磁阱
toroidal field,环向场
toroidal pinch,环形箍缩
torsional alfvén wave,扭曲阿尔芬波
trapped electrons,俘获电子
trapped particle instability,俘获粒子不稳定性
trapped,俘获
trapped-particle instabilities,俘获粒子不稳定性
triangularity,三角形变
tritium inventory,氚滞留
Trivelpiece-Gould curves,特里维尔皮斯-古尔德曲线
Troyon scaling,Troyon定标率
Troyon,Troyon
truncate,截断
tunneling,隧穿
two-component torus,双组分环
two-stream instability,双流不稳定性
underdense,次临界密度
untrapped particle,通行粒子
upper hybrid,上杂化
upper hybrid frequency,上杂化频率
upper hybrid oscillations,上杂化振荡
upper hybrid wave,上杂波
vacuum vessel current,真空室壁电流
Van Allen belts,范艾伦带
Van Kampen mode,范坎彭模
vertical instability,垂直不稳定性
vessel,腔体
virial theorem,位力定理
Vlasov equation,弗拉索夫方程
wakefield accelaration,尾场加速
Ware pinch,韦尔箍缩
water-bag model,水袋模型
whistler,哨声
whistler wave,哨声波
yin-yang coil,阴阳线圈
zonal flow,带状流
z-pinch,Z箍缩
zeroth moment,零阶矩
